,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,harass_np_exp,haras_np_day,harass_np_place,right_viol,right_viol_year,right_viol_year_count,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
80,15 - 39,Rarely,Nigerian Mobile Police,"I sold palm oil to market woman worth #400k to be paid in 3weeks time as we agreed. She failed and I invited the vigilantes so she became upset and report to the modern market police station which happened to be her tribal people. Those police woman took the case against me and the D Division police station Makurdi, Benue State, DPO Eneche  which the market station was under his district heard about the case, and request it should forward immediately.
On reaching the station, the police women at the canter and DPO Eneche where still her language people but to my surprise the DPO made her to understand he is different from other policemen out there with sentiment.
DPO Eneche whom I so much respect till today, told her for someone to give her goods worth 400k on credit, such person have done good to her family but she happened to unsincere and ungrateful woman.
DPO even want to lock her but we pleaded rather.",Rarely,Nigerian Mobile Police,"Arm Robbers buggled my friend house and made away with laptop, handset and other belongings and the case was reported to Kalewa police station, jimeta,Yola, Adamawa State.
The police affirmed that the handset has been tracked so we are to pay money for mobility to the destination and my friend sent me to the station.
I went but till today, the same police had been so sceptical about the whole case as if they sponsored those criminals themselves",Yes,2018,Saturday,Benue,Yes,2021,,Friday,Adamawa,1,Poor,Establishment of SERVICOM DESK at police stations and should be control by train civilian
81,15 - 39,Rarely,Nigerian Mobile Police,They help me when a guy was trying to harass me,Rarely,Nigerian Mobile Police,Asking me to give them something,Yes,2020,Saturday,Lagos,Yes,2021,,Tuesday,Lagos,6,They are trying but need to change some certain things,"Firstly they should stop harassing the youth 
It's not a crime to have iPhone or to b rich at young age
They should focus on the main reason that is protecting we the citizens"
82,15 - 39,Always,Nigerian Mobile Police,Unapologetic and very poor,Always,Nigerian Mobile Police,Very rude and unprofessional ,Yes,"2019,2020,2021and even before the said dates. ",Friday,Anambra,Yes,"201,920,202,021",,Friday,Anambra,1,So you know there is no protection on the civilians with the force called Nigeria Police ,There should a psychologist put in check for these people to checkmate them. 
83,15 - 39,Rarely,Nigerian Mobile Police,None,Often,Nigerian Mobile Police,None,Yes,2021;2020;2019,Saturday,Lagos,Yes,2021;2020;2019,,Saturday,Lagos,2,None,None
84,15 - 39,Rarely,State Security Service,They directed me,Always,State Security Service,Requesting for bribe,No,None,None,None,Yes,2019,,Tuesday,Lagos,4,Difficult,When they are well paid and trained 
85,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,None,None,No,None,None,None,No,None,,None,None,4,Good,None
86,15 - 39,Rarely,National Drug Law Enforcement Agency,On fake goods,Often,State Security Service,Violence,No,None,None,None,Yes,2016,,Thursday,Rivers,3,Corruption,Self content and control
87,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,"Undue extortion for the crime of having a laptop in my bag, held at gunpoint for standing with a friend tasked with keeping our organization's technical equipment.",Yes,2018,None,Rivers,Yes,2019,,None,Rivers;Federal Capital Territory (FCT),2,Terrible,None
88,15 - 39,Rarely,Non,Nothing with them ,Rarely,Non,Nothing ,No,Non,None,Anambra,Yes,2019,,Thursday,Anambra,5,Nothing much to have with them,None
89,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,Harassment,Yes,2020,None,Anambra;Enugu,Yes,2020,,None,Benue;Enugu,3,Disappointing,State policing 
90,15 - 39,Rarely,None,None,Always,Nigerian Mobile Police,None,No,None,None,None,Yes,2021;2020;2019,,Friday,Adamawa,1,None,None
91,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,Yes,2021,,Thursday,Osun,4,None,None
92,15 - 39,Often,Nigerian Mobile Police,It was fascinating,Often,Nigerian Mobile Police,It was hectic,Yes,2010,Saturday,Ondo,Yes,2020,,Monday,Lagos,5,Incompetent,Sanction offending officers 
93,15 - 39,Rarely,None,None,Rarely,Nigerian Mobile Police,None,No,2018,Saturday,Rivers,Yes,2018,,Saturday,Rivers,5,None,None
94,15 - 39,Rarely,National Drug Law Enforcement Agency,None,Often,Nigerian Mobile Police,None,No,None,None,None,No,None,,None,None,3,Corrupted ,None
95,15 - 39,Rarely,None,None,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,2017,Friday,Rivers,Yes,2021;2020;2019;2018;2017;2016,,Monday,Lagos,1,Dehumanizing,Let the implement the ones given previously
96,40 - 69,Rarely,Nigerian Mobile Police,Stopping and searching the vehicle I am in,Rarely,Nigerian Mobile Police,Some as above,Yes,None,Wednesday,Lagos,Yes,2010,,Thursday,Lagos,3,Not reliable,Periodic traning and monitoring
97,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,Bribery,No,None,None,None,Yes,2020,,Thursday,Ondo,3,None,"There attitude to citizens, they should improve community and police relationship."
98,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,Bullying,Yes,2020,Saturday,Rivers,Yes,2021;2020;2019,,Saturday,Rivers,1,Unchecked,Constitutional amendment
