,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
34,15 - 39,Rarely,,,Rarely,,I was forced to pay some money because they saw old Naira notes with me after the new polymer notes were introduced. ,Yes,,2007,,Ekiti,Yes,,,,,3,Unpleasant ,Right recruitment process
34,15 - 39,Rarely,,,Rarely,,I was forced to pay some money because they saw old Naira notes with me after the new polymer notes were introduced. ,Yes,,2013,,Enugu,Yes,,,,,3,Unpleasant ,Right recruitment process
35,15 - 39,Rarely,,Polite ,Rarely,,,No,,,,,No,,,,,4,Rude,Increase there sslaries
36,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Terrible,Yes,,2019,,Rivers,Yes,2021,,,Rivers,2,Terrible,Proper sensitisation from top level to bottom
36,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Terrible,Yes,,2019,,Rivers,Yes,2020,,,Rivers,2,Terrible,Proper sensitisation from top level to bottom
36,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Terrible,Yes,,2019,,Rivers,Yes,2019,,,Rivers,2,Terrible,Proper sensitisation from top level to bottom
36,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Terrible,Yes,,2019,,Rivers,Yes,2018,,,Rivers,2,Terrible,Proper sensitisation from top level to bottom
36,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Terrible,Yes,,2019,,Rivers,Yes,2017,,,Rivers,2,Terrible,Proper sensitisation from top level to bottom
36,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Terrible,Yes,,2019,,Rivers,Yes,2016,,,Rivers,2,Terrible,Proper sensitisation from top level to bottom
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Abia,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2020,,Tuesday,Akwa Ibom,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2019,,Tuesday,Anambra,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Bayelsa,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Cross River,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Delta,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Ebonyi,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Lagos,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Osun,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
